Seg,Truth,Dice,Jaccard,MSI,FN,FP,TN,TP,Recall_Sensitivity_TPR,Specificity_TNR,Fallout_FPR,Precision_PPV,Accuracy_ACC,AUC,KAP,ARI,ICC,VS,MI,VOI,PBD,GCE,HD,AVD,MHD
/home/shuyue.guan/Documents/MISS-tool/ComparingSamples/Seg/p0721_n0_s1_pred.png,/home/shuyue.guan/Documents/MISS-tool/ComparingSamples/Truth/p0721_n0_s1_lab.png,0.653144771120208,0.48494059132357,0.598264411230666,0,1864,125981,1755,1,0.985419844342759,0.0145801556572412,0.48494059132357,0.985617283950617,0.992709922171379,0.646701070455637,0.637004925005457,0.6530906822551,0.653144771120208,0.0755431975908326,0.136236383021452,0.00208256521982012,0.0213574788752094,14,1.53069453529274,0.0683576920239175
/home/shuyue.guan/Documents/MISS-tool/ComparingSamples/Seg/p0721_n1_s1_pred.png,/home/shuyue.guan/Documents/MISS-tool/ComparingSamples/Truth/p0721_n0_s1_lab.png,0.776754075124026,0.634994206257242,0.793977931296255,111,834,127011,1644,0.936752136752137,0.993476475419453,0.00652352458054676,0.663438256658596,0.992708333333333,0.965114306085795,0.773157580467547,0.767332680425039,0.776727063241978,0.829199149539334,0.0758918800715827,0.0881383272442147,0.00112709317303564,0.0124167483287965,12.0830459735946,0.803419387940204,0.32177814220218
/home/shuyue.guan/Documents/MISS-tool/ComparingSamples/Seg/p0721_n2_s1_pred.png,/home/shuyue.guan/Documents/MISS-tool/ComparingSamples/Truth/p0721_n0_s1_lab.png,0.756391702846117,0.60822342901474,0.726770361094687,187,823,127022,1568,0.893447293447293,0.993562517110564,0.00643748288943643,0.655792555416144,0.992206790123457,0.943504905278928,0.752526420407994,0.74647107459838,0.756362848262833,0.846599131693198,0.0706562640152966,0.0947784614873122,0.00126300520208083,0.0133984751468791,13,0.99723976220304,0.482537306182749
/home/shuyue.guan/Documents/MISS-tool/ComparingSamples/Seg/p0721_n3_s1_pred.png,/home/shuyue.guan/Documents/MISS-tool/ComparingSamples/Truth/p0721_n0_s1_lab.png,0.78829604130809,0.650568181818182,0.763917934402182,152,709,127136,1603,0.913390313390313,0.994454221909343,0.00554577809065665,0.693339100346021,0.993356481481481,0.953922267649828,0.784985619924832,0.779604227526109,0.788271496951305,0.863044012785837,0.0745058772833883,0.0835693482567287,0.00105317236064732,0.0116079931519901,9.8488578017961,0.682844444334853,0.368338473997016
/home/shuyue.guan/Documents/MISS-tool/ComparingSamples/Seg/p0722_n1_s5_pred.png,/home/shuyue.guan/Documents/MISS-tool/ComparingSamples/Truth/p0721_n0_s1_lab.png,0.568329015544041,0.396969011535852,NaN,0,2666,125179,1755,1,0.979146622863624,0.0208533771363761,0.396969011535852,0.979429012345679,0.989573311431812,0.559794661657162,0.547714489377096,0.568251100410831,0.568329015544041,0.0703890277612948,0.177285980925758,0.002978604547232,0.028737032289773,152.472948420367,2.96075639375709,0.356258909321857
/home/shuyue.guan/Documents/MISS-tool/ComparingSamples/Seg/p0722_n2_s2_pred.png,/home/shuyue.guan/Documents/MISS-tool/ComparingSamples/Truth/p0721_n0_s1_lab.png,0.361215147732002,0.220416455053327,0.0625311356773598,887,2183,125662,868,0.494586894586895,0.982924635300559,0.0170753646994407,0.284496886266798,0.976311728395062,0.738755764943727,0.350040159367188,0.341434502138869,0.36112577615013,0.730337078651685,0.0243483272723875,0.215641536936067,0.00693503207734707,0.0352765400705425,36,8.28093646508325,2.01867015441775
/home/shuyue.guan/Documents/MISS-tool/ComparingSamples/Seg/p0723_n0_s2_pred.png,/home/shuyue.guan/Documents/MISS-tool/ComparingSamples/Truth/p0721_n0_s1_lab.png,0.575598556903903,0.404098549389823,0.42957148686172,0,2588,125257,1755,1,0.979756736673315,0.0202432633266847,0.404098549389823,0.980030864197531,0.989878368336658,0.567251368277015,0.555375719561575,0.575522965881581,0.575598556903903,0.0708333191529852,0.173486404623845,0.00289145857773309,0.0280386346128153,18.8679622641132,2.27697798316192,0.0764496783192987
/home/shuyue.guan/Documents/MISS-tool/ComparingSamples/Seg/p0724_n0_s1_pred.png,/home/shuyue.guan/Documents/MISS-tool/ComparingSamples/Truth/p0721_n0_s1_lab.png,0.389048991354467,0.241502683363148,0.130803067655399,0,5512,122333,1755,1,0.956885290781806,0.0431147092181939,0.241502683363148,0.957469135802469,0.978442645390903,0.375423887458455,0.358289825804977,0.388885759903661,0.389048991354467,0.0587297640061405,0.297642659622879,0.00615831517792302,0.0528021820269882,54,7.65777944012407,0.587645620948539
/home/shuyue.guan/Documents/MISS-tool/ComparingSamples/Seg/p0724_n1_s1_pred.png,/home/shuyue.guan/Documents/MISS-tool/ComparingSamples/Truth/p0721_n0_s1_lab.png,0.550674615625981,0.379952370642996,0.391615387174584,0,2864,124981,1755,1,0.977597872423638,0.022402127576362,0.379952370642996,0.977901234567901,0.988798936211819,0.541679488363456,0.529102478374871,0.550590795553248,0.550674615625981,0.0693054723111548,0.186771910899649,0.00319982123903693,0.0304952437463082,22,2.50594846843816,0.109704245551694
/home/shuyue.guan/Documents/MISS-tool/ComparingSamples/Seg/p0724_n2_s1_pred.png,/home/shuyue.guan/Documents/MISS-tool/ComparingSamples/Truth/p0721_n0_s1_lab.png,0.782048221532585,0.642101136809094,0.800963644099314,117,796,127049,1638,0.933333333333333,0.99377371035238,0.00622628964762017,0.672966310599836,0.99295524691358,0.963553521842857,0.7785635533314,0.77289848322479,0.78202214435774,0.837908808784913,0.0759164151176114,0.0861560993967038,0.00109291579879815,0.0120800427202118,14,0.875747173566857,0.079091679113451
